Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
LEE	Lee	26906	11/08/2022	2022 General Election	117	117	5005	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	617
LEE	Lee	26906	11/08/2022	2022 General Election	118	118	6386	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	818
LEE	Lee	26906	11/08/2022	2022 General Election	119	119	7202	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1170
LEE	Lee	26906	11/08/2022	2022 General Election	120	120	5549	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	677
LEE	Lee	26906	11/08/2022	2022 General Election	121	121	4511	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	686
LEE	Lee	26906	11/08/2022	2022 General Election	122	122	1086	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	207
LEE	Lee	26906	11/08/2022	2022 General Election	201	201	2888	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	587
LEE	Lee	26906	11/08/2022	2022 General Election	202	202	12673	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	3091
LEE	Lee	26906	11/08/2022	2022 General Election	203	203	3427	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	738
LEE	Lee	26906	11/08/2022	2022 General Election	204	204	4158	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	770
LEE	Lee	26906	11/08/2022	2022 General Election	205	205	3127	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	610
LEE	Lee	26906	11/08/2022	2022 General Election	206	206	3326	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	463
LEE	Lee	26906	11/08/2022	2022 General Election	207	207	2415	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	350
LEE	Lee	26906	11/08/2022	2022 General Election	208	208	3685	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	637
LEE	Lee	26906	11/08/2022	2022 General Election	209	209	5072	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	989
LEE	Lee	26906	11/08/2022	2022 General Election	210	210	8184	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1412
LEE	Lee	26906	11/08/2022	2022 General Election	211	211	2764	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	484
LEE	Lee	26906	11/08/2022	2022 General Election	212	212	7165	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1769
LEE	Lee	26906	11/08/2022	2022 General Election	213	213	3068	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	664
LEE	Lee	26906	11/08/2022	2022 General Election	214	214	7043	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	963
LEE	Lee	26906	11/08/2022	2022 General Election	215	215	5442	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	814
LEE	Lee	26906	11/08/2022	2022 General Election	216	216	6161	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1039
LEE	Lee	26906	11/08/2022	2022 General Election	217	217	5074	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1187
LEE	Lee	26906	11/08/2022	2022 General Election	218	218	3329	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	775
LEE	Lee	26906	11/08/2022	2022 General Election	219	219	3620	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	747
LEE	Lee	26906	11/08/2022	2022 General Election	220	220	2892	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	690
LEE	Lee	26906	11/08/2022	2022 General Election	221	221	4484	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	855
LEE	Lee	26906	11/08/2022	2022 General Election	222	222	7594	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1817
LEE	Lee	26906	11/08/2022	2022 General Election	301	301	4326	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	889
LEE	Lee	26906	11/08/2022	2022 General Election	302	302	3840	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	858
LEE	Lee	26906	11/08/2022	2022 General Election	303	303	6568	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1512
LEE	Lee	26906	11/08/2022	2022 General Election	304	304	7458	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1431
LEE	Lee	26906	11/08/2022	2022 General Election	305	305	3867	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	855
LEE	Lee	26906	11/08/2022	2022 General Election	306	306	4076	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	873
LEE	Lee	26906	11/08/2022	2022 General Election	307	307	5170	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	806
LEE	Lee	26906	11/08/2022	2022 General Election	308	308	3468	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	684
LEE	Lee	26906	11/08/2022	2022 General Election	309	309	1858	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	300
LEE	Lee	26906	11/08/2022	2022 General Election	310	310	5873	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1074
LEE	Lee	26906	11/08/2022	2022 General Election	311	311	8803	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1502
LEE	Lee	26906	11/08/2022	2022 General Election	312	312	3372	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	615
LEE	Lee	26906	11/08/2022	2022 General Election	313	313	6891	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1695
LEE	Lee	26906	11/08/2022	2022 General Election	314	314	9122	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1734
LEE	Lee	26906	11/08/2022	2022 General Election	315	315	4847	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	808
LEE	Lee	26906	11/08/2022	2022 General Election	316	316	7804	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1671
LEE	Lee	26906	11/08/2022	2022 General Election	317	317	6716	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1313
LEE	Lee	26906	11/08/2022	2022 General Election	318	318	6491	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1335
LEE	Lee	26906	11/08/2022	2022 General Election	319	319	3211	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	436
LEE	Lee	26906	11/08/2022	2022 General Election	320	320	7087	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1270
LEE	Lee	26906	11/08/2022	2022 General Election	321	321	2859	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	521
LEE	Lee	26906	11/08/2022	2022 General Election	401	401	2445	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	467
LEE	Lee	26906	11/08/2022	2022 General Election	402	402	7796	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1006
LEE	Lee	26906	11/08/2022	2022 General Election	403	403	4725	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	755
LEE	Lee	26906	11/08/2022	2022 General Election	404	404	3709	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	510
LEE	Lee	26906	11/08/2022	2022 General Election	408	408	7592	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	746
LEE	Lee	26906	11/08/2022	2022 General Election	409	409	8734	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	978
LEE	Lee	26906	11/08/2022	2022 General Election	410	410	4775	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	564
LEE	Lee	26906	11/08/2022	2022 General Election	411	411	5115	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	763
LEE	Lee	26906	11/08/2022	2022 General Election	412	412	7906	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1291
LEE	Lee	26906	11/08/2022	2022 General Election	413	413	4728	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	792
LEE	Lee	26906	11/08/2022	2022 General Election	414	414	2162	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	362
LEE	Lee	26906	11/08/2022	2022 General Election	415	415	8372	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1449
LEE	Lee	26906	11/08/2022	2022 General Election	416	416	7207	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1657
LEE	Lee	26906	11/08/2022	2022 General Election	417	417	5614	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	879
LEE	Lee	26906	11/08/2022	2022 General Election	504	504	5837	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	309
LEE	Lee	26906	11/08/2022	2022 General Election	505	505	4651	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	545
LEE	Lee	26906	11/08/2022	2022 General Election	506	506	6540	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	513
